name,max_lines,x,y,resol
stji001,1,0.4,0.4,1
stji002,2,0.4,0.2,1
stji004,2,0.4,0.2,1
stji005,2,0.4,0.2,1
stji006,2,0.4,0.2,1
stji007,1,0.4,0.4,1
stji009,1,0.3,0.4,1
stji025,1,0.4,0.4,1
stji027,1,0.3,0.4,1
stji028,1,0.2,0.4,1
iscd-e013,1,0.4,0.1,1
iscd-r001,1,0.2,0.40,2
iscd-r002,1,0.2,0.40,2
iscd-r003,1,0.2,0.40,2
iscd-r004,1,0.2,0.40,2
iscd-r005,1,0.2,0.40,2
iscd-r006,1,0.2,0.40,2
iscd-r007,1,0.2,0.40,2
iscd-r008,1,0.2,0.35,2
iscd-r009,1,0.2,0.4,1
iscd-r010,1,0.2,0.4,1
iscd-l014,2,0.4,0.2,1
iscd-p002,1,0,0.5,1
iscd-p004,1,0.4,0.5,1
stjm003,2,0.3,0.2,1
stjm004,2,0.4,0.2,1
stjm006,2,0.3,0.2,1
stjm007,2,0.3,0.2,1
stjm009,1,0.4,0.4,1
stjm013,1,0.1,0.5,1
stjm015,1,0.3,0.4,1
stjm016,2,0.3,0.2,1
stpl002,1,0.3,0.2,2
stpl004,1,0.3,0.2,2
stpl005,1,0.3,0.2,2
stpl006,1,0.3,0.2,1
stpl007,1,0.4,0.3,1
stpl009,1,0.3,0.2,1
stpl019,1,0.2,0.3,1
stpl020,1,0.2,0.3,1
stpl021,1,0.2,0.3,1
stpl022,1,0.2,0.3,1
stpl025,1,0.3,0.2,2
stpl026,1,0.3,0.2,2
stpl027,1,0.3,0.2,2
STPV001-1,0,0,0,0
STPV001-2,0,0,0,0
STPV001,0,0,0,0
STPV002-1,0,0,0,0
STPV002-2,0,0,0,0
STPV002-3,0,0,0,0
STPV002,0,0,0,0
STPV003,0,0,0,0
STPV004,0,0,0,0
STPV005,0,0,0,0
STPV006,0,0,0,0
STPV009,0,0,0,0
STPV010,0,0,0,0
STPV011,0,0,0,0
STPV012,0,0,0,0
STPV013,0,0,0,0
STPV014,0,0,0,0
STPV015,0,0,0,0
STPV016,0,0,0,0
STPV017,0,0,0,0
STPV019,0,0,0,0
STPV020,0,0,0,0
STPV021,0,0,0,0
STPV022,0,0,0,0
STPV023,0,0,0,0
STPV024,0,0,0,0
STPV025,0,0,0,0
STPV026,0,0,0,0
STPV027,0,0,0,0
STPV028,0,0,0,0
STPV031,0,0,0,0
STPV032,0,0,0,0
STPV034,0,0,0,0
STPV035,0,0,0,0
STPV042,0,0,0,0
STPV043,0,0,0,0
STPV044,0,0,0,0
STPV045,0,0,0,0
STPV046,0,0,0,0
STPV047,0,0,0,0
STPV048,0,0,0,0
STPV049,0,0,0,0
STPV052,0,0,0,0
STPV053,0,0,0,0
STPV054,0,0,0,0
STPV055,0,0,0,0
STPV056,0,0,0,0
STPV057,0,0,0,0
STPV058,0,0,0,0
STPV059,0,0,0,0
STPV060,0,0,0,0
STPV061,0,0,0,0
STPV062,0,0,0,0
STPV063,0,0,0,0
STPV064,0,0,0,0
STPV065,0,0,0,0
STPV066,0,0,0,0
